niveau,matiere,moyenne_20
CP,Français,12.0
CP,Mathématiques,9.8
CP,Sciences,12.2
CP,Histoire-Géo,9.5
CP,Anglais,12.1
CE1,Français,12.3
CE1,Mathématiques,10.3
CE1,Sciences,12.0
CE1,Histoire-Géo,14.7
CE1,Anglais,14.5
CE2,Français,11.7
CE2,Mathématiques,9.8
CE2,Sciences,14.0
CE2,Histoire-Géo,11.2
CE2,Anglais,8.7
CM1,Français,11.5
CM1,Mathématiques,10.5
CM1,Sciences,13.6
CM1,Histoire-Géo,14.1
CM1,Anglais,10.1
CM2,Français,10.4
CM2,Mathématiques,14.5
CM2,Sciences,11.3
CM2,Histoire-Géo,11.1
CM2,Anglais,10.1
6e,Français,12.3
6e,Mathématiques,15.3
6e,Sciences,13.2
6e,Histoire-Géo,9.1
6e,Anglais,12.3
5e,Français,10.0
5e,Mathématiques,11.6
5e,Sciences,14.3
5e,Histoire-Géo,10.6
5e,Anglais,13.4
4e,Français,14.5
4e,Mathématiques,11.5
4e,Sciences,12.5
4e,Histoire-Géo,14.1
4e,Anglais,13.4
3e,Français,10.9
3e,Mathématiques,15.2
3e,Sciences,8.4
3e,Histoire-Géo,12.1
3e,Anglais,14.8
