region,annee,effectif_eleves,taux_reussite_pct,taux_filles_pct
Maritime,2020,38741,74.8,44.8
Maritime,2021,39980,74.4,50.0
Maritime,2022,41266,72.4,49.7
Maritime,2023,41764,79.5,47.2
Maritime,2024,42807,79.7,50.7
Plateaux,2020,15486,66.3,45.7
Plateaux,2021,16123,64.4,45.4
Plateaux,2022,16048,70.7,44.4
Plateaux,2023,17032,70.9,50.8
Plateaux,2024,17720,71.2,46.3
Centrale,2020,20048,53.7,44.9
Centrale,2021,21075,54.7,45.1
Centrale,2022,21508,56.6,46.6
Centrale,2023,21492,58.5,47.3
Centrale,2024,22876,63.7,50.9
Kara,2020,30775,59.1,44.4
Kara,2021,31279,61.3,45.3
Kara,2022,32229,59.6,49.1
Kara,2023,33108,62.6,46.8
Kara,2024,33647,64.9,50.3
Savanes,2020,33698,64.4,49.1
Savanes,2021,34219,60.9,49.3
Savanes,2022,35611,67.1,49.8
Savanes,2023,37013,69.7,46.8
Savanes,2024,37653,68.7,45.3
