movie_id,movie_title,release_date,release_year,mcu_timeline_order,phase,phase_number,director,lead_actor,runtime_minutes,production_budget_millions,worldwide_box_office_millions,domestic_box_office_millions,profit_millions,roi_percentage,domestic_percentage,imdb_rating,rotten_tomatoes,metacritic_score,storyline
MCU_000,Iron Man,2008-05-02,2008,1,Phase 1,1,Jon Favreau,Robert Downey Jr.,126,140,585,318,445,317.85714285714283,54.35897435897436,7.9,94,79,Tony Stark builds a suit of armor after being kidnapped.
MCU_001,The Incredible Hulk,2008-06-13,2008,2,Phase 1,1,Louis Leterrier,Edward Norton,112,150,264,134,114,76.0,50.75757575757576,6.7,67,61,Bruce Banner seeks a cure for his gamma radiation condition.
MCU_002,Iron Man 2,2010-05-07,2010,3,Phase 1,1,Jon Favreau,Robert Downey Jr.,124,200,623,312,423,211.50000000000003,50.08025682182986,7.0,73,57,Tony Stark faces a mysterious enemy targeting his company.
MCU_003,Thor,2011-05-06,2011,4,Phase 1,1,Kenneth Branagh,Chris Hemsworth,115,150,449,181,299,199.33333333333334,40.31180400890869,7.0,77,57,Thor is exiled to Earth and must prove himself worthy.
MCU_004,Captain America: The First Avenger,2011-07-22,2011,5,Phase 1,1,Joe Johnston,Chris Evans,124,140,370,176,230,164.28571428571428,47.56756756756757,6.9,80,66,Steve Rogers becomes a super-soldier during WWII.
MCU_005,The Avengers,2012-05-04,2012,6,Phase 1,1,Joss Whedon,Robert Downey Jr.,143,220,1518,623,1298,590.0,41.04084321475626,8.0,91,69,Earths mightiest heroes unite to stop an alien invasion.
MCU_006,Iron Man 3,2013-05-03,2013,7,Phase 2,2,Shane Black,Robert Downey Jr.,130,200,1214,409,1014,507.0,33.69028006589786,7.2,79,62,Tony Stark faces a mysterious terrorist known as The Mandarin.
MCU_007,Thor: The Dark World,2013-11-08,2013,8,Phase 2,2,Alan Taylor,Chris Hemsworth,112,170,644,206,474,278.8235294117647,31.987577639751553,6.8,66,54,Thor fights to save Asgard from the Dark Elves.
MCU_008,Captain America: The Winter Soldier,2014-04-04,2014,9,Phase 2,2,"Anthony Russo, Joe Russo",Chris Evans,136,170,714,259,544,320.0,36.27450980392157,7.7,90,70,Steve Rogers uncovers a conspiracy within S.H.I.E.L.D.
MCU_009,Guardians of the Galaxy,2014-08-01,2014,10,Phase 2,2,James Gunn,Chris Pratt,122,170,770,333,600,352.94117647058823,43.246753246753244,8.0,91,76,A group of misfits forms to save the galaxy from Ronan.
MCU_010,Avengers: Age of Ultron,2015-05-01,2015,11,Phase 2,2,Joss Whedon,Robert Downey Jr.,141,250,1405,459,1155,462.0,32.669039145907476,7.3,75,66,"Tony Stark creates Ultron to protect Earth, but it goes rogue."
MCU_011,Ant-Man,2015-07-17,2015,12,Phase 2,2,Peyton Reed,Paul Rudd,117,130,519,180,389,299.2307692307692,34.68208092485549,7.2,82,64,Scott Lang becomes Ant-Man to pull off a heist.
MCU_012,Captain America: Civil War,2016-05-06,2016,13,Phase 3,3,"Anthony Russo, Joe Russo",Chris Evans,147,250,1153,408,903,361.2,35.38594969644406,7.8,90,75,The Avengers are divided over the Sokovia Accords.
MCU_013,Doctor Strange,2016-11-04,2016,14,Phase 3,3,Scott Derrickson,Benedict Cumberbatch,115,165,677,232,512,310.3030303030303,34.26883308714919,7.5,89,72,Stephen Strange becomes the Sorcerer Supreme after an accident.
MCU_014,Guardians of the Galaxy Vol. 2,2017-05-05,2017,15,Phase 3,3,James Gunn,Chris Pratt,136,200,863,389,663,331.5,45.07531865585168,7.6,85,67,The Guardians face a powerful new enemy.
MCU_015,Spider-Man: Homecoming,2017-07-07,2017,16,Phase 3,3,Jon Watts,Tom Holland,133,175,880,334,705,402.85714285714283,37.95454545454545,7.4,92,73,Peter Parker balances high school life with superhero duties.
MCU_016,Thor: Ragnarok,2017-11-03,2017,17,Phase 3,3,Taika Waititi,Chris Hemsworth,130,180,853,315,673,373.8888888888889,36.928487690504106,7.9,93,74,Thor must stop Hela from destroying Asgard.
MCU_017,Black Panther,2018-02-16,2018,18,Phase 3,3,Ryan Coogler,Chadwick Boseman,134,200,1346,700,1146,573.0,52.00594353640417,7.3,96,88,TChalla becomes King of Wakanda and faces a rival.
MCU_018,Avengers: Infinity War,2018-04-27,2018,19,Phase 3,3,"Anthony Russo, Joe Russo",Robert Downey Jr.,149,321,2048,678,1727,538.006230529595,33.10546875,8.4,85,68,The Avengers battle Thanos to prevent universal extinction.
MCU_019,Ant-Man and The Wasp,2018-07-06,2018,20,Phase 3,3,Peyton Reed,Paul Rudd,118,162,622,216,460,283.95061728395063,34.726688102893895,7.0,87,70,Scott Lang helps Hope rescue her mother from the Quantum Realm.
MCU_020,Captain Marvel,2019-03-08,2019,21,Phase 3,3,"Anna Boden, Ryan Fleck",Brie Larson,124,152,1128,426,976,642.1052631578948,37.765957446808514,6.8,79,64,Carol Danvers becomes Captain Marvel and discovers her past.
MCU_021,Avengers: Endgame,2019-04-26,2019,22,Phase 3,3,"Anthony Russo, Joe Russo",Robert Downey Jr.,181,356,2798,858,2442,685.9550561797753,30.664760543245173,8.4,94,78,The remaining Avengers use time travel to undo Thanoss snap.
MCU_022,Spider-Man: Far From Home,2019-07-02,2019,23,Phase 3,3,Jon Watts,Tom Holland,129,160,1132,390,972,607.5,34.45229681978799,7.4,90,71,Peter Parker travels to Europe and faces the Elementals.
