recolte_id,producteur_id,culture,date_recolte,quantite_kg
3001,16,Maïs,2024-08-13,2997.9
3002,6,Café,2022-10-12,2825.0
3003,6,Coton,2023-02-15,766.6
3004,8,Coton,2024-03-17,2742.3
3005,14,Riz,2023-09-04,2096.1
3006,12,Riz,2022-07-18,1587.0
3007,13,Maïs,2023-11-27,617.9
3008,9,Coton,2024-02-16,660.3
3009,13,Coton,2022-08-21,1380.7
3010,22,Igname,2023-07-19,55.5
3011,6,Cacao,2023-01-11,
3012,14,Igname,2022-07-25,
3013,17,Cacao,2022-06-09,1302.6
3014,15,Cacao,2024-03-06,1927.7
3015,16,Coton,2022-04-22,1808.3
3016,22,Igname,2022-09-14,2269.1
3017,8,Café,2024-04-08,479.8
3018,18,Manioc,2022-05-16,1905.1
3019,18,Igname,2022-09-14,2514.6
3020,4,Coton,2022-11-18,2676.1
3021,10,Riz,2024-05-03,154.1
3022,21,Manioc,2022-11-01,1044.3
3023,23,Coton,2023-06-16,1096.8
3024,13,Igname,2022-07-06,225.6
3025,23,Cacao,2024-05-20,929.1
3026,24,Café,2022-12-27,2886.1
3027,20,Igname,2024-11-05,2207.7
3028,3,Sorgho,2022-11-09,
3029,24,Coton,2022-10-17,683.6
3030,301,Igname,2022-03-21,
3031,1,Maïs,2024-04-24,2680.6
3032,22,Cacao,2023-09-23,2613.7
3033,12,Café,2024-05-03,1052.2
3034,9,Cacao,2024-02-17,2337.7
3035,5,Cacao,2024-04-17,1614.8
3036,305,Maïs,2022-11-22,2727.7
3037,8,Riz,2024-06-13,2038.6
3038,26,Cacao,2024-06-07,1989.4
3039,5,Café,2024-01-23,2535.7
3040,17,Coton,2022-03-10,1352.9
3041,3,Sorgho,2022-10-27,
3042,29,Coton,2023-02-01,484.3
3043,23,Riz,2023-05-09,62.6
3044,28,Riz,2024-07-21,
3045,26,Cacao,2024-11-13,1439.1
3046,25,Cacao,2024-03-19,1896.3
3047,18,Coton,2023-12-06,860.7
3048,301,Café,2023-09-08,
3049,16,Coton,2023-05-13,305.7
3050,310,Cacao,2023-01-08,1693.1
3051,301,Coton,2022-11-15,2699.1
3052,27,Riz,2023-03-22,1221.1
3053,19,Café,2023-08-15,2752.3
3054,14,Cacao,2023-07-09,1835.0
3055,310,Coton,2022-05-01,1147.2
3056,23,Manioc,2024-07-24,
3057,11,Maïs,2022-04-16,1045.2
3058,7,Sorgho,2023-01-03,2802.8
3059,14,Sorgho,2022-01-22,976.2
3060,30,Sorgho,2022-06-15,2491.7
3061,28,Maïs,2023-10-14,1862.5
3062,18,Igname,2024-04-23,2117.7
3063,8,Coton,2023-08-19,2093.7
3064,26,Manioc,2022-11-20,2399.8
3065,16,Maïs,2022-12-09,1916.2
3066,14,Maïs,2023-12-01,1972.4
3067,28,Sorgho,2022-02-10,2939.6
3068,12,Cacao,2023-10-02,2613.2
3069,305,Igname,2024-07-25,985.5
3070,6,Manioc,2022-05-03,2248.5
3071,310,Maïs,2023-07-11,78.7
3072,20,Igname,2022-03-26,2783.3
3073,22,Maïs,2024-12-19,1590.2
3074,20,Igname,2023-12-26,1322.5
3075,15,Café,2024-08-15,2553.4
3076,3,Cacao,2023-09-02,
3077,301,Manioc,2022-05-14,1195.4
3078,6,Coton,2023-02-27,
3079,14,Riz,2023-06-23,206.0
3080,29,Igname,2022-02-13,1713.8
3081,3,Sorgho,2023-10-07,261.5
3082,18,Sorgho,2024-10-06,2586.3
3083,1,Sorgho,2022-08-01,
3084,21,Maïs,2022-07-03,1817.5
3085,14,Café,2024-05-26,1287.3
3086,23,Igname,2024-01-18,1105.7
3087,1,Café,2023-10-26,1476.3
3088,2,Coton,2022-11-27,
3089,6,Café,2024-01-09,2302.1
3090,1,Café,2023-03-24,1006.2
3016,22,Igname,2022-09-14,2269.1
