vente_id,recolte_id,marche,date_vente,prix_unitaire_fcfa,quantite_vendue_kg
4001,3050,Marché de Kpalimé,2024-10-27,400,91.9
4002,3008,Marché de Notsé,2024-11-14,150,596.7
4003,3057,Marché d'Adawlato,2023-10-11,150,435.7
4004,3080,Marché de Kpalimé,2023-11-11,150,934.3
4005,3050,Marché de Notsé,2022-12-17,200,1173.7
4006,3037,Marché de Dapaong,2024-01-06,250,51.9
4007,3084,Marché de Sokodé,2022-07-18,400,771.1
4008,3054,Marché de Kpalimé,2022-06-17,300,105.9
4009,3046,Marché de Kara,2022-06-05,250,1321.2
4010,3064,Marché de Sokodé,2023-07-23,400,876.8
4011,3072,Marché de Kara,2023-06-20,500,169.0
4012,3081,Marché de Dapaong,2022-03-16,350,335.4
4013,3004,Marché de Notsé,2023-03-02,200,848.6
4014,3064,Marché de Kara,2022-10-23,300,870.2
4015,3062,Marché de Kpalimé,2024-10-23,350,107.6
4016,3069,Marché de Notsé,2022-05-16,150,1224.6
4017,3003,Marché de Notsé,2023-05-15,400,91.1
4018,3050,Marché de Dapaong,2022-05-15,500,1388.5
4019,3009,Marché de Notsé,2023-09-15,150,1407.0
4020,3051,Marché d'Adawlato,2022-08-25,250,330.4
4021,3076,Marché de Dapaong,2022-03-11,150,866.7
4022,3003,Marché de Sokodé,2023-07-09,150,702.6
4023,3020,Marché d'Adawlato,2023-06-17,500,812.8
4024,3034,Marché de Notsé,2024-11-25,300,789.6
4025,9002,Marché de Dapaong,2024-08-04,250,962.2
4026,3027,Marché de Notsé,2023-12-03,500,472.3
4027,3019,Marché d'Adawlato,2022-11-05,500,873.9
4028,3012,Marché de Kara,2022-02-01,350,404.4
4029,3064,Marché de Notsé,2024-01-14,400,1330.0
4030,3090,Marché de Kpalimé,2022-11-26,400,1175.3
4031,3023,Marché de Dapaong,2023-10-26,500,1081.4
4032,3073,Marché d'Adawlato,2024-05-08,350,1325.1
4033,3090,Marché de Sokodé,2023-06-24,200,1175.8
4034,3014,Marché d'Adawlato,2024-01-08,300,1401.2
4035,3030,Marché de Kara,2022-10-09,150,694.2
4036,3086,Marché de Sokodé,2023-02-02,350,469.2
4037,3048,Marché de Sokodé,2024-07-14,200,1042.7
4038,3087,Marché de Kara,2022-07-23,400,969.3
4039,3071,Marché de Kara,2022-01-25,400,613.1
4040,3031,Marché de Kara,2024-02-20,150,1270.8
4041,3029,Marché de Notsé,2022-04-09,200,600.9
4042,3080,Marché de Notsé,2023-10-26,200,523.4
4043,3039,Marché d'Adawlato,2022-01-09,400,584.4
4044,9003,Marché d'Adawlato,2023-06-02,350,1104.4
4045,3048,Marché de Notsé,2024-02-21,200,784.3
4046,3089,Marché de Notsé,2022-08-17,150,63.5
4047,3087,Marché de Sokodé,2022-05-07,400,699.5
4048,3007,Marché de Notsé,2022-02-15,300,1387.8
4049,3049,Marché de Kpalimé,2024-12-16,400,346.9
4050,3030,Marché de Kpalimé,2024-05-15,300,1373.5
4051,3060,Marché d'Adawlato,2022-01-22,150,1279.4
4052,3078,Marché de Sokodé,2024-03-10,350,306.9
4053,3003,Marché de Kara,2022-03-25,400,510.8
4054,3073,Marché de Kpalimé,2022-09-18,500,1015.3
4055,3075,Marché de Kara,2024-03-10,400,1165.5
4056,3054,Marché d'Adawlato,2023-12-03,400,1113.5
4057,3055,Marché de Notsé,2023-04-26,500,140.0
4058,3071,Marché de Notsé,2023-08-01,300,442.9
4059,3061,Marché de Kpalimé,2022-11-17,250,1078.0
4060,3056,Marché de Notsé,2022-05-21,150,353.0
4061,3079,Marché de Kpalimé,2023-12-25,400,776.7
4062,3069,Marché de Dapaong,2022-01-11,300,600.1
4063,3053,Marché de Sokodé,2024-09-24,200,551.2
4064,3039,Marché d'Adawlato,2024-04-26,500,46.7
4065,3001,Marché de Kara,2023-07-05,400,395.9
4066,3006,Marché de Sokodé,2022-03-27,400,711.3
4067,3012,Marché de Notsé,2024-02-15,350,1296.2
4068,3069,Marché de Notsé,2024-08-16,150,596.7
4069,3008,Marché de Notsé,2024-12-06,150,1275.2
4070,3075,Marché de Notsé,2023-04-19,250,456.1
4071,3053,Marché de Kara,2022-11-23,150,1239.1
4072,3081,Marché de Dapaong,2024-11-21,400,95.9
4073,3087,Marché d'Adawlato,2023-10-15,500,1175.3
4074,3005,Marché de Sokodé,2022-01-05,200,1173.3
4075,9001,Marché de Kara,2024-03-11,350,506.4
4076,9003,Marché de Kara,2022-09-26,200,1331.6
4077,3047,Marché d'Adawlato,2023-03-04,150,197.0
4078,3001,Marché de Kara,2022-09-03,500,197.6
4079,3035,Marché de Dapaong,2022-04-13,400,1167.6
4080,3016,Marché de Sokodé,2023-01-02,500,114.1
4081,3086,Marché de Kara,2022-09-20,300,959.1
4082,3024,Marché de Sokodé,2023-08-24,300,227.9
4083,3060,Marché de Kpalimé,2024-09-21,300,910.9
4084,3040,Marché de Kpalimé,2024-01-22,500,274.6
4085,3027,Marché de Sokodé,2024-09-17,200,1154.9
4086,3022,Marché de Sokodé,2024-08-16,500,243.3
4087,3011,Marché de Notsé,2024-02-04,400,237.7
4088,3063,Marché de Kpalimé,2022-03-10,350,1376.1
4089,3049,Marché de Kara,2024-08-10,150,120.7
4090,3045,Marché de Kpalimé,2023-06-15,500,1446.8
4091,3068,Marché de Kpalimé,2023-11-27,150,1458.8
4092,3015,Marché de Dapaong,2023-07-18,150,1403.6
4093,3037,Marché d'Adawlato,2022-10-21,350,207.1
4094,3015,Marché de Kpalimé,2023-06-22,150,664.4
4095,3050,Marché de Kara,2023-09-10,250,1396.3
4096,3075,Marché d'Adawlato,2022-06-11,350,960.5
4097,3025,Marché de Kara,2023-07-01,150,1061.0
4098,3074,Marché d'Adawlato,2023-11-13,500,532.6
4099,3010,Marché de Sokodé,2022-06-17,300,49.0
4100,3056,Marché de Notsé,2024-08-06,400,1435.6
4101,3010,Marché de Kpalimé,2024-10-05,350,616.1
4102,9003,Marché d'Adawlato,2022-01-27,250,476.1
4103,3081,Marché de Sokodé,2023-11-18,350,921.9
4104,3050,Marché de Dapaong,2023-10-10,400,1387.2
4105,3020,Marché d'Adawlato,2024-11-08,250,339.4
4106,3029,Marché de Kpalimé,2022-08-10,150,766.8
4107,3026,Marché de Kpalimé,2023-02-27,200,1283.8
4108,3067,Marché de Sokodé,2022-07-11,250,1156.9
4109,3055,Marché d'Adawlato,2022-03-17,350,987.3
4110,3007,Marché de Kara,2022-04-06,500,659.1
4041,3029,Marché de Notsé,2022-04-09,200,600.9
