id_releve,region,prefecture,localite,type_energie,fournisseur,date_releve,consommation_kwh,production_kwh,nombre_menages_raccordes,taux_couverture_pourcent,panne_signalee
REL-0141,Savanes,oti,Kara,Thermique,ZAGNABORI SOLAR,2025-06-25,5535.2,,2529,95.3,Oui
REL-0066,Kara,Kozah,amlame,Eolienne,ZAGNABORI SOLAR,2024-08-02,5119.2,1727.6,4264,51.8,Non
REL-0096,SAVANES,Tandjouare,Vogan,Solaire,CEET,08/02/2025,,2773.0,4974,43.3,Non
REL-0023,Centrale,Tchaoudjo,Aneho,Solaire,CEET,14/11/2024,4996.9,2825.5,511,29.6,Oui
REL-0064,MARITIME,BAS-MONO,Amlame,Eolienne,AGAHR,10-01-2025,5484.8,2359.4,2595,79.5,Non
REL-0047,Maritime,lacs,Dapaong,Hydraulique,ZAGNABORI SOLAR,26/06/2024,5380.3,4547.1,2938,86.0,Oui
REL-0098,Maritime,Ave,Amlame,Eolienne,ZAGNABORI SOLAR,19-11-2025,5107.5,3483.0,2797,78.9,Oui
REL-0012,Centrale,Tchaoudjo,Bafilo,Eolienne,CEB,10/12/2024,4062.5,1417.0,3209,61.1,Non
REL-0003,CENTRALE,Blitta,Kpalime,EOLIENNE,CEET,20/06/2025,6868.8,2117.2,505,95.8,Non
REL-0083,PLATEAUX,Haho,LOME,Hydraulique,ZAGNABORI SOLAR,03/12/2024,5356.3,6165.1,3822,83.1,Oui
REL-0025,centrale,Sotouboua,Amlame,THERMIQUE,AGAHR,08-11-2024,5718.8,8191.2,992,59.5,Oui
REL-0108,Plateaux,danyi,Kara,Thermique,ZAGNABORI SOLAR,04-09-2025,3599.7,5270.4,4376,67.0,Oui
REL-0097,Centrale,Mo,Kpalime,Biomasse,CEET,12-06-2024,7148.2,3317.3,1359,45.4,Non
REL-0075,Savanes,Oti,Atakpame,Solaire,ZAGNABORI SOLAR,28/12/2025,3830.2,1856.7,1093,65.6,Non
REL-0117,Kara,Kozah,Aneho,Solaire,AGAHR,2024-12-14,4468.6,2618.7,3677,81.7,Non
REL-0167,Kara,Bassar,VOGAN,solaire,CEB,18/12/2024,5468.1,4112.2,1657,40.5,Non
REL-0102,Centrale,Tchaoudjo,Lome,SOLAIRE,CEET,18-02-2025,5662.0,3656.5,3316,59.6,Oui
REL-0146,Kara,kozah,NOTSE,biomasse,ZAGNABORI SOLAR,15/09/2024,5938.9,2575.9,1729,90.8,Oui
REL-0086,savanes,Tone,tsevie,Thermique,CEET,2024-07-15,4144.8,4888.2,3539,64.6,Oui
REL-0166,centrale,Mo,tsevie,biomasse,CEB,21-09-2025,4601.3,2533.7,2915,54.5,Oui
REL-0134,Kara,keran,Notse,SOLAIRE,CEET,13/02/2024,2388.8,2133.2,2927,80.0,Non
REL-0169,SAVANES,Tone,Aneho,Eolienne,CEET,18/09/2024,,2781.4,247,,Oui
REL-0081,Maritime,Zio,Dapaong,Hydraulique,CEB,27-02-2024,5272.6,6503.9,1847,91.7,Non
REL-0201,Centrale,Tchamba,TSEVIE,Eolienne,CEET,17-07-2024,3611.4,,2429,90.5,Oui
REL-0314,PLATEAUX,Ogou,AMLAME,EOLIENNE,CEET,16-10-2025,4821.0,1564.1,3433,45.2,Non
