ville,mois,mois_num,temperature_moy_c,precipitations_mm
Lomé,Janvier,1,21.2,11.2
Lomé,Février,2,24.7,0.0
Lomé,Mars,3,25.1,0.0
Lomé,Avril,4,27.4,156.5
Lomé,Mai,5,28.9,150.9
Lomé,Juin,6,28.7,170.7
Lomé,Juillet,7,28.4,122.5
Lomé,Août,8,28.0,170.5
Lomé,Septembre,9,26.8,177.9
Lomé,Octobre,10,24.8,136.9
Lomé,Novembre,11,22.3,40.9
Lomé,Décembre,12,21.3,50.8
Kara,Janvier,1,25.8,38.0
Kara,Février,2,26.1,0.0
Kara,Mars,3,27.4,4.6
Kara,Avril,4,29.5,100.2
Kara,Mai,5,31.6,83.2
Kara,Juin,6,32.9,118.9
Kara,Juillet,7,32.5,86.7
Kara,Août,8,30.3,113.7
Kara,Septembre,9,27.7,96.7
Kara,Octobre,10,26.9,110.0
Kara,Novembre,11,25.7,19.0
Kara,Décembre,12,25.0,44.8
Sokodé,Janvier,1,25.4,46.8
Sokodé,Février,2,26.6,16.5
Sokodé,Mars,3,27.4,42.1
Sokodé,Avril,4,28.9,96.1
Sokodé,Mai,5,30.7,109.3
Sokodé,Juin,6,33.2,90.9
Sokodé,Juillet,7,32.4,123.8
Sokodé,Août,8,30.5,85.1
Sokodé,Septembre,9,29.0,100.7
Sokodé,Octobre,10,26.7,100.2
Sokodé,Novembre,11,25.6,33.9
Sokodé,Décembre,12,23.0,0.0
Kpalimé,Janvier,1,23.6,16.6
Kpalimé,Février,2,23.6,0.0
Kpalimé,Mars,3,26.4,47.3
Kpalimé,Avril,4,29.2,123.6
Kpalimé,Mai,5,30.5,122.4
Kpalimé,Juin,6,29.6,136.8
Kpalimé,Juillet,7,29.7,145.8
Kpalimé,Août,8,28.1,146.6
Kpalimé,Septembre,9,27.3,127.3
Kpalimé,Octobre,10,23.1,167.1
Kpalimé,Novembre,11,21.9,38.3
Kpalimé,Décembre,12,23.3,0.0
Atakpamé,Janvier,1,23.4,0.0
Atakpamé,Février,2,24.0,21.7
Atakpamé,Mars,3,26.6,45.5
Atakpamé,Avril,4,26.6,115.2
Atakpamé,Mai,5,29.8,159.9
Atakpamé,Juin,6,29.0,153.0
Atakpamé,Juillet,7,28.4,142.3
Atakpamé,Août,8,29.4,169.0
Atakpamé,Septembre,9,26.6,142.4
Atakpamé,Octobre,10,25.3,161.3
Atakpamé,Novembre,11,21.0,38.1
Atakpamé,Décembre,12,22.2,24.5
Dapaong,Janvier,1,24.3,10.1
Dapaong,Février,2,25.4,38.7
Dapaong,Mars,3,28.6,0.0
Dapaong,Avril,4,30.8,123.0
Dapaong,Mai,5,32.2,84.0
Dapaong,Juin,6,31.5,87.3
Dapaong,Juillet,7,32.7,132.8
Dapaong,Août,8,30.4,77.8
Dapaong,Septembre,9,26.9,93.6
Dapaong,Octobre,10,24.8,103.8
Dapaong,Novembre,11,23.8,0.0
Dapaong,Décembre,12,23.1,7.4
