id_commande,date_commande,client_id,ville_client,produit,categorie,quantite,prix_unitaire,note_satisfaction
CMD1240,2024-09-22,CL1021,Aneho,Sac a dos,Accessoire,3.0,71.52,4.0
CMD1060,2024-12-07,CL1083,Sokode,Jean,Bas,2.0,60.19,4.0
CMD1402,2024-09-10,CL1130,Sokode,Casquette,Accessoire,5.0,11.68,5.0
CMD1159,2024-03-20,CL1167,Sokode,Chaussettes,Bas,4.0,8.18,4.0
CMD1051,2024-03-20,CL1041,,jean,Bas,4.0,47.38,3.0
CMD1193,2024-01-22,CL1004,Lome,Veste,Haut,3.0,105.02,4.0
CMD1462,2024-06-16,CL1023,Lome,Casquette,Accessoire,1.0,18.26,3.0
CMD1338,2024-09-11,CL1025,Sokode,Pull,Haut,3.0,34.25,5.0
CMD1013,2024-03-11,CL1126,Kara,Chaussettes,Bas,4.0,11.28,5.0
CMD1476,2024-10-26,CL1040,Sokode,Casquette,Accessoire,5.0,10.59,3.0
CMD1259,2024-12-29,CL1088,Lome,Sneakers,Chaussures,,67.81,3.0
CMD1065,2024-04-25,CL1037,Kpalime,Pull,Haut,2.0,27.8,3.0
CMD1318,2024-11-26,CL1095,Dapaong,Chaussettes,Bas,1.0,6.26,4.0
CMD1082,2024-02-11,CL1004,Lome,Chaussettes,Bas,4.0,6.95,5.0
CMD1202,2024-02-07,CL1118,Lome,Casquette,Accessoire,1.0,17.96,4.0
CMD1238,2024-06-18,CL1031,Tsevie,Pull,Haut,1.0,50.86,4.0
CMD1380,2024-06-30,CL1165,Kpalime,Jean,Bas,2.0,38.83,3.0
CMD1032,2024-10-03,CL1023,Lome,Jean,Bas,1.0,50.51,1.0
CMD1246,2024-10-17,CL1154,Kara,Sneakers,Chaussures,3.0,50.04,1.0
CMD1235,22/08/2024,CL1075,Lome,Sac a dos,Accessoire,1.0,67.9,1.0
CMD1066,07/02/2024,CL1106,Kpalime,T-shirt,Haut,5.0,12.6,5.0
CMD1319,2024-12-15,CL1138,Kara,Chaussettes,Bas,4.0,8.14,
CMD1347,2024-05-26,CL1128,Sokode,Chaussettes,Bas,2.0,5.08,1.0
CMD1464,2024-10-11,CL1063,Tsevie,Sneakers,Chaussures,4.0,47.33,5.0
CMD1294,2024-12-08,CL1057,Lome,Jean,Bas,2.0,56.55,5.0
CMD1455,2024-09-23,CL1179,Tsevie,Casquette,Accessoire,2.0,10.93,4.0
CMD1147,2024-09-11,CL1198,Aneho,Chaussettes,Bas,1.0,6.92,4.0
CMD1236,2024-06-10,CL1131,Tsevie,Veste,Haut,2.0,63.94,4.0
CMD1115,2024-05-19,CL1138,Atakpame,Jean,Bas,2.0,51.4,5.0
CMD1243,2024-06-29,CL1111,Atakpame,Sac a dos,Accessoire,1.0,51.09,5.0
CMD1164,2024-04-15,CL1195,Dapaong,Pull,Haut,1.0,32.31,2.0
CMD1200,2024-10-15,CL1114,Kara,Jean,Bas,5.0,41.2,5.0
CMD1405,2024-06-27,CL1112,Kara,Veste,Haut,1.0,86.79,2.0
CMD1188,2024-04-20,CL1029,Kara,Chaussettes,Bas,5.0,8.4,5.0
CMD1114,2024-10-18,CL1112,Kpalime,T-shirt,Haut,2.0,14.16,4.0
CMD1090,2024-08-03,CL1027,Lome,Jean,Bas,3.0,52.71,5.0
CMD1421,2024-09-22,CL1113,Kpalime,Veste,Haut,1.0,102.91,
CMD1357,2024-12-18,CL1128,Dapaong,Pull,Haut,1.0,36.52,2.0
CMD1283,2024-10-25,CL1043,Atakpame,sac a dos,Accessoire,2.0,45.93,5.0
CMD1237,2024-11-27,CL1073,Lome,Chaussettes,Bas,5.0,11.92,3.0
CMD1216,2024-12-12,CL1113,Kara,Sneakers,Chaussures,1.0,99.09,3.0
CMD1284,2024-12-24,CL1048,Lome,Chaussettes,Bas,2.0,6.03,2.0
CMD1451,2024-04-10,CL1194,,Sac a dos,Accessoire,5.0,52.1,5.0
CMD1369,2024-09-10,CL1157,Atakpame,Jean,Bas,2.0,47.64,5.0
CMD1120,2024-03-23,CL1105,Kpalime,pull,Haut,3.0,37.25,4.0
CMD1479,2024-06-29,CL1144,Atakpame,Pull,Haut,1.0,52.42,5.0
CMD1277,2024-06-22,CL1093,Kara,Jean,Bas,1.0,,5.0
CMD1253,2024-04-12,CL1060,Lome,Sneakers,Chaussures,2.0,104.53,3.0
CMD1310,2024-10-08,CL1193,Kara,Sac a dos,Accessoire,3.0,39.19,5.0
CMD1445,2024-08-29,CL1098,Lome,T-shirt,Haut,1.0,12.57,4.0
CMD1472,2024-05-23,CL1035,Lome,Casquette,Accessoire,5.0,14.99,4.0
CMD1436,2024-04-14,CL1137,Lome,Sneakers,Chaussures,2.0,65.81,3.0
CMD1330,2024-08-30,CL1057,Dapaong,Sneakers,Chaussures,1.0,67.49,3.0
CMD1263,2024-10-19,CL1158,Kpalime,Jean,Bas,2.0,36.59,4.0
CMD1313,2024-09-07,CL1130,Atakpame,Sac a dos,Accessoire,2.0,36.97,2.0
CMD1372,2024-03-31,CL1081,Kara,Sneakers,Chaussures,2.0,67.53,4.0
CMD1242,2024-08-06,CL1176,Kara,Pull,Haut,2.0,44.83,3.0
CMD1431,2024-11-22,CL1018,Lome,Veste,Haut,1.0,104.54,5.0
CMD1426,2024-11-11,CL1113,Aneho,Veste,Haut,1.0,116.53,
CMD1477,2024-01-29,CL1147,Lome,Jean,Bas,,43.67,3.0
CMD1132,2024-12-23,CL1146,Tsevie,Chaussettes,Bas,3.0,8.19,3.0
CMD1250,26/05/2024,CL1051,,Casquette,Accessoire,2.0,17.04,5.0
CMD1278,2024-01-24,CL1035,Sokode,Sneakers,Chaussures,4.0,59.93,1.0
CMD1355,2024-04-16,CL1036,Lome,T-shirt,Haut,3.0,14.33,5.0
CMD1303,2024-10-17,CL1193,Dapaong,Sneakers,Chaussures,3.0,46.06,
CMD1030,2024-02-25,CL1049,Dapaong,Jean,Bas,,,3.0
CMD1281,2024-01-09,CL1084,Kara,Sac a dos,Accessoire,2.0,,4.0
CMD1377,2024-03-19,CL1096,Lome,Sneakers,Chaussures,2.0,92.5,4.0
CMD1031,2024-05-22,CL1063,Kara,Veste,Haut,1.0,108.27,5.0
CMD1352,2024-02-12,CL1111,Atakpame,Sac a dos,Accessoire,1.0,33.37,5.0
CMD1052,2024-06-19,CL1171,Lome,Sneakers,Chaussures,1.0,111.11,4.0
CMD1466,2024-11-26,CL1149,Atakpame,Veste,Haut,3.0,134.13,2.0
CMD1261,2024-03-27,CL1148,Sokode,Casquette,Accessoire,1.0,16.14,5.0
CMD1145,2024-04-11,CL1123,Tsevie,Chaussettes,Bas,5.0,9.83,4.0
CMD1101,2024-09-25,CL1072,Atakpame,Veste,Haut,2.0,126.47,5.0
CMD1056,2024-02-29,CL1045,Aneho,Chaussettes,Bas,3.0,9.76,4.0
CMD1220,2024-10-10,CL1182,Tsevie,Casquette,Accessoire,5.0,10.52,2.0
CMD1002,2024-10-28,CL1001,Lome,T-shirt,Haut,4.0,19.3,4.0
CMD1058,2024-12-28,CL1000,Lome,Jean,Bas,2.0,48.48,4.0
CMD1439,2024-12-28,CL1179,Lome,Casquette,Accessoire,1.0,16.66,3.0
CMD1217,2024-05-02,CL1200,Lome,Casquette,Accessoire,5.0,17.52,4.0
CMD1430,2024-05-31,CL1013,Atakpame,Casquette,Accessoire,2.0,12.05,
CMD1441,2024-03-01,CL1085,Atakpame,Sneakers,Chaussures,2.0,101.23,1.0
CMD1074,2024-04-28,CL1177,Lome,Pull,Haut,1.0,51.79,4.0
CMD1314,2024-07-31,CL1144,Lome,Sac a dos,Accessoire,5.0,78.52,5.0
CMD1089,2024-08-07,CL1094,Lome,Jean,Bas,1.0,62.87,
CMD1435,2024-10-01,CL1157,Lome,Chaussettes,Bas,4.0,7.97,5.0
CMD1333,2024-04-07,CL1068,Lome,Jean,Bas,3.0,67.28,1.0
CMD1080,2024-08-07,CL1118,Lome,Chaussettes,Bas,1.0,9.14,3.0
CMD1413,2024-08-22,CL1170,Atakpame,Pull,Haut,1.0,42.46,
CMD1026,2024-02-06,CL1060,Tsevie,T-shirt,Haut,1.0,14.98,5.0
CMD1165,2024-03-16,CL1000,Lome,Veste,Haut,2.0,112.77,5.0
CMD1458,2024-06-16,CL1115,Atakpame,Casquette,Accessoire,4.0,18.51,4.0
CMD1034,2024-08-20,CL1108,Lome,Chaussettes,Bas,4.0,5.02,4.0
CMD1337,2024-05-24,CL1119,Sokode,Veste,Haut,,95.7,4.0
CMD1351,2024-07-13,CL1141,Lome,Jean,Bas,1.0,57.88,4.0
CMD1118,2024-11-29,CL1071,Kara,T-shirt,Haut,1.0,21.92,5.0
CMD1050,2024-04-17,CL1063,Tsevie,T-shirt,Haut,1.0,16.01,
CMD1321,2024-01-12,CL1118,Tsevie,Sneakers,Chaussures,2.0,99.59,4.0
CMD1014,2024-03-22,CL1108,Lome,Jean,Bas,1.0,61.45,
CMD1212,2024-01-10,CL1079,Sokode,Jean,Bas,4.0,57.61,4.0
CMD1422,2024-08-04,CL1122,Tsevie,T-shirt,Haut,3.0,12.1,3.0
CMD1443,2024-10-17,CL1094,Lome,Sac a dos,Accessoire,3.0,57.31,3.0
CMD1003,2024-04-20,CL1026,Lome,Sneakers,Chaussures,3.0,97.36,4.0
CMD1293,2024-12-22,CL1035,Aneho,Sac a dos,Accessoire,2.0,42.84,4.0
CMD1059,2024-06-18,CL1080,Aneho,Veste,Haut,1.0,92.78,5.0
CMD1289,2024-12-26,CL1176,Dapaong,Casquette,Accessoire,2.0,12.25,3.0
CMD1296,2024-08-31,CL1166,Kara,Sneakers,Chaussures,1.0,45.39,5.0
CMD1452,2024-10-04,CL1162,Lome,Veste,Haut,4.0,73.55,4.0
CMD1098,24/10/2024,CL1121,Lome,Veste,Haut,2.0,96.4,4.0
CMD1280,2024-09-16,CL1136,Kpalime,Pull,Haut,2.0,29.88,5.0
CMD1040,2024-11-26,CL1117,Lome,Pull,Haut,4.0,32.16,4.0
CMD1162,2024-05-21,CL1031,Lome,Pull,Haut,3.0,41.33,3.0
CMD1146,2024-12-24,CL1005,Sokode,Jean,Bas,3.0,43.3,4.0
CMD1424,2024-03-09,CL1173,Kara,Pull,Haut,1.0,51.43,
CMD1450,2024-06-04,CL1062,Lome,Sac a dos,Accessoire,2.0,457.2,5.0
CMD1194,2024-10-20,CL1181,Sokode,Sac a dos,Accessoire,3.0,85.27,4.0
CMD1155,2024-11-22,CL1027,Sokode,Pull,Haut,2.0,45.18,4.0
CMD1206,2024-12-28,CL1112,Lome,Jean,Bas,1.0,52.66,5.0
CMD1079,2024-11-14,CL1006,Aneho,Chaussettes,Bas,5.0,10.07,5.0
CMD1292,2024-08-14,CL1065,Lome,Casquette,Accessoire,1.0,19.55,
CMD1028,2024-02-19,CL1110,Lome,Veste,Haut,4.0,130.62,
CMD1041,2024-11-14,CL1025,Lome,Pull,Haut,1.0,52.87,5.0
CMD1354,2024-05-23,CL1144,Atakpame,Sac a dos,Accessoire,1.0,46.27,5.0
CMD1386,2024-08-12,CL1081,Kara,Veste,Haut,3.0,106.9,5.0
CMD1022,2024-03-25,CL1135,Aneho,Sneakers,Chaussures,5.0,54.63,4.0
CMD1367,2024-06-03,CL1126,Lome,sneakers,Chaussures,1.0,96.4,4.0
CMD1109,2024-04-16,CL1054,Aneho,T-shirt,Haut,1.0,19.93,
CMD1232,2024-07-01,CL1088,Atakpame,Chaussettes,Bas,2.0,11.87,2.0
CMD1394,2024-10-29,CL1172,Aneho,Sneakers,Chaussures,2.0,,2.0
CMD1057,2024-06-09,CL1155,Lome,Casquette,Accessoire,4.0,10.38,4.0
CMD1473,2024-10-05,CL1097,Kpalime,Chaussettes,Bas,2.0,6.4,1.0
CMD1062,2024-01-01,CL1073,Kara,Sneakers,Chaussures,2.0,91.16,4.0
CMD1111,2024-04-28,CL1180,Lome,T-shirt,Haut,5.0,17.31,4.0
CMD1084,2024-11-14,CL1061,Tsevie,T-shirt,Haut,2.0,24.34,3.0
CMD1213,2024-09-05,CL1057,Aneho,Sneakers,Chaussures,3.0,116.34,3.0
CMD1353,2024-01-22,CL1054,Tsevie,Pull,Haut,1.0,41.98,3.0
CMD1138,2024-05-27,CL1191,Kpalime,T-shirt,Haut,2.0,20.03,3.0
CMD1179,2024-12-06,CL1184,Kara,Pull,Haut,4.0,45.1,4.0
CMD1129,2024-07-31,CL1129,Dapaong,Sneakers,Chaussures,2.0,109.8,4.0
CMD1173,2024-10-26,CL1182,Kpalime,Sneakers,Chaussures,2.0,49.93,5.0
CMD1096,2024-07-27,CL1142,Lome,T-shirt,Haut,2.0,18.72,5.0
CMD1187,2024-05-19,CL1169,Kpalime,T-shirt,Haut,1.0,14.02,5.0
CMD1474,2024-10-16,CL1082,Lome,Pull,Haut,5.0,39.39,5.0
CMD1141,2024-10-16,CL1046,Sokode,Pull,Haut,2.0,37.92,
CMD1440,2024-05-12,CL1095,Sokode,T-shirt,Haut,3.0,14.13,3.0
CMD1358,2024-02-08,CL1154,Lome, Pull ,Haut,4.0,26.61,4.0
CMD1396,2024-10-21,CL1108,Kpalime,Sneakers,Chaussures,4.0,83.31,4.0
CMD1293,2024-12-22,CL1035,Aneho,Sac a dos,Accessoire,2.0,42.84,4.0
CMD1205,2024-08-18,CL1087,Aneho,Pull,Haut,1.0,43.15,2.0
CMD1306,2024-05-16,CL1077,Kara,T-shirt,Haut,2.0,15.39,4.0
CMD1227,2024-03-03,CL1061,Lome,Chaussettes,Bas,2.0,5.78,1.0
CMD1168,2024-08-03,CL1029,Lome,Pull,Haut,2.0,25.47,5.0
CMD1081,2024-08-20,CL1086,Lome,Sneakers,Chaussures,4.0,48.77,4.0
CMD1328,2024-08-06,CL1126,Kpalime,Casquette,Accessoire,1.0,12.75,5.0
CMD1305,2024-09-01,CL1063,,Chaussettes,Bas,1.0,9.68,4.0
CMD1295,2024-08-29,CL1174,Lome,Veste,Haut,4.0,64.72,2.0
CMD1412,2024-07-07,CL1124,Atakpame,Jean,Bas,2.0,49.1,5.0
CMD1453,2024-07-11,CL1026,Dapaong,T-shirt,Haut,1.0,24.36,4.0
CMD1204,2024-10-19,CL1048,Kara,Chaussettes,Bas,1.0,8.24,
CMD1416,2024-11-16,CL1004,Lome,Sac a dos,Accessoire,1.0,77.3,5.0
CMD1053,2024-01-20,CL1056,Kara,Veste,Haut,1.0,84.01,5.0
CMD1267,2024-09-20,CL1027,Dapaong,Pull,Haut,1.0,54.26,5.0
CMD1139,2024-12-26,CL1113,Dapaong,Jean,Bas,1.0,50.19,2.0
CMD1258,2024-01-29,CL1132,Kara,Sneakers,Chaussures,1.0,102.58,2.0
CMD1298,2024-01-20,CL1106,Sokode,Jean,Bas,2.0,,3.0
CMD1066,2024-02-07,CL1106,Kpalime,T-shirt,Haut,5.0,12.6,5.0
CMD1399,2024-09-15,CL1126,Aneho,Sneakers,Chaussures,4.0,,
CMD1370,2024-07-21,CL1158,Lome,Veste,Haut,,101.21,4.0
CMD1427,2024-03-04,CL1186,Lome,Veste,Haut,1.0,67.8,5.0
CMD1362,2024-06-11,CL1027,Atakpame,Sneakers,Chaussures,1.0,73.5,4.0
CMD1099,2024-08-20,CL1078,Lome,Pull,Haut,3.0,37.77,4.0
CMD1248,28/02/2024,CL1188,Lome,Pull,Haut,2.0,36.94,1.0
CMD1148,2024-04-07,CL1064,Lome,Veste,Haut,3.0,114.64,5.0
CMD1015,2024-10-10,CL1174,Sokode,jean,Bas,5.0,48.47,1.0
CMD1163,2024-11-01,CL1012,Kpalime,Sac a dos,Accessoire,2.0,35.5,1.0
CMD1274,2024-07-06,CL1102,Dapaong,Sneakers,Chaussures,3.0,111.18,1.0
CMD1046,2024-05-08,CL1023,Sokode,Pull,Haut,2.0,31.11,1.0
CMD1086,2024-02-28,CL1079,Kpalime,Casquette,Accessoire,1.0,17.67,3.0
CMD1037,2024-02-05,CL1017,Tsevie,Sneakers,Chaussures,1.0,49.27,5.0
CMD1401,2024-05-20,CL1137,Lome,Jean,Bas,2.0,54.79,3.0
CMD1373,2024-05-04,CL1096,,Casquette,Accessoire,5.0,17.35,4.0
CMD1172,2024-02-11,CL1155,Lome,Jean,Bas,5.0,,4.0
CMD1073,2024-04-30,CL1085,Atakpame,Veste,Haut,1.0,,4.0
CMD1316,2024-12-24,CL1138,Kara,Veste,Haut,1.0,112.05,2.0
CMD1104,2024-08-28,CL1112,Sokode,Sac a dos,Accessoire,1.0,36.16,5.0
CMD1446,2024-12-01,CL1057,Sokode,Sneakers,Chaussures,1.0,58.42,4.0
CMD1404,2024-08-05,CL1188,Sokode,T-shirt,Haut,5.0,21.88,2.0
CMD1016,2024-06-23,CL1075,Dapaong,Jean,Bas,2.0,58.86,2.0
CMD1301,2024-03-09,CL1119,Tsevie,Casquette,Accessoire,5.0,14.54,5.0
CMD1245,2024-12-13,CL1008,Tsevie,Sneakers,Chaussures,1.0,116.46,5.0
