id_commande,date_commande,client_id,ville_client,categorie_produit,nom_produit,quantite,prix_unitaire,remise_pourcentage,mode_paiement,canal_vente,delai_livraison_jours,note_satisfaction,statut_commande
104746,2025-01-28,1412,Lille,Vetements,Baskets,4,40.3,5,PayPal,Site web,3.0,4.0,Livree
103100,2025-08-13,2494,Lille,Maison,Tapis,2,48.13,20,CB,Site web,11.0,5.0,Livree
103690,2024-06-01,1381,Bordeaux,Maison,Etagere,1,46.61,10,CB,Magasin,3.0,,Livree
102454,2024-04-16,2017,Toulouse,Maison,Set de cuisine,1,49.4,0,CB,Application mobile,14.0,3.0,Livree
100437,2025-02-14,1074,Lyon,Electronique,Tablette,1,197.3,0,CB,Magasin,8.0,5.0,Livree
100521,2025-01-12,2010,Paris,Vetements,Robe,1,44.63,10,PayPal,Site web,8.0,3.0,Livree
103918,2025-12-10,1165,Nantes,Beaute,Creme visage,3,14.32,0,Especes,Site web,11.0,5.0,Annulee
102842,2025-10-08,1016,Strasbourg,Electronique,Enceinte bluetooth,3,405.07,0,Especes,Site web,9.0,3.0,Livree
100958,2025-05-30,2077,Marseille,Beaute,Creme visage,1,23.43,15,PayPal,Magasin,10.0,3.0,Livree
102475,2025-08-04,1920,Nantes,Electronique,Casque audio,2,314.36,0,Especes,Magasin,7.0,4.0,Livree
103356,2024-12-13,1515,Toulouse,Livres,Roman,4,21.97,10,CB,Application mobile,5.0,4.0,Livree
102426,2025-04-22,2356,Nantes,Sport,Montre connectee,2,19.81,0,CB,Site web,4.0,3.0,Livree
104127,2025-06-01,2418,Toulouse,Beaute,Parfum,3,15.06,20,CB,Site web,2.0,,Livree
102823,2024-05-24,1273,Lille,Maison,Coussin,4,36.43,10,CB,Site web,9.0,5.0,Livree
104581,2025-01-22,1653,Nantes,Electronique,Tablette,1,302.18,0,CB,Application mobile,4.0,4.0,Livree
101624,2024-06-02,2440,Paris,Livres,Manuel scolaire,2,14.59,20,CB,Site web,8.0,5.0,Retournee
104842,2025-09-24,2434,Bordeaux,Beaute,Parfum,5,20.28,0,PayPal,Site web,3.0,5.0,Livree
104149,2025-07-23,1608,Toulouse,Electronique,Smartphone,2,318.79,0,Virement,Site web,14.0,2.0,Livree
104858,2024-11-08,1372,Toulouse,Electronique,Smartphone,1,273.64,0,PayPal,Site web,1.0,1.0,Livree
